Restaurant Name,Restaurant Rating,Restaurant Address,Contact No.,Cuisine,Opening Hours,Google Reviews
"The Bent Fork
",4.3,"Dasarath Chand Marg, Kathmandu 44600",980-2045600,Restaurant,"Friday	12–9PM
Saturday	12–9PM
Sunday	Closed
Monday	12–9PM
Tuesday	12–9PM
Wednesday	12–9PM
Thursday	12–9PM
","54 Google reviews
"
"Tama Restaurant And Bar
",4.0,"Gairidhara Rd, Kathmandu 44600",01-4004553,Nepalese restaurant,"Friday	9AM–9PM
Saturday	9AM–9PM
Sunday	9AM–9PM
Monday	9AM–9PM
Tuesday	9AM–9PM
Wednesday	9AM–9PM
Thursday	9AM–9PM
","665 Google reviews
"
"Paleti Bhanchha Ghar
",4.6,"J P Marg, Kathmandu 44600",01-4212911,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","21 Google reviews
"
"Mahabir Centre For Nepal Connection
",4.4,"1st floor, sagarmatha bazaar, Mandala Street, Kathmandu 44600",981-7192766,Not Provided,"Friday	9AM–10PM
Saturday	9AM–10PM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
","11 Google reviews
"
"DALLE
",3.8,"तिनधारा मार्ग, Kathmandu 44600",01-4411302,Restaurant,"Friday	11AM–9:30PM
Saturday	11AM–9:30PM
Sunday	11AM–9:30PM
Monday	11AM–9:30PM
Tuesday	11AM–9:30PM
Wednesday	11AM–9:30PM
Thursday	11AM–9:30PM
","505 Google reviews
"
"Mulchowk Restaurant
",4.2,"Tanka Prasad Ghumti Sadak, Kathmandu 44600",01-4259801,Not Provided,"Friday	11AM–10PM
Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
","84 Google reviews
"
"Shafqat Halal Food Restaurant
",4.2,Kathmandu 44600,01-4253380,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","107 Google reviews
"
"Nepal Golf Zone (MaanaM
",3.7,"Padma Marg, Kathmandu 44600",01-4415613,Not Provided,"Friday	6AM–10PM
Saturday	6AM–10PM
Sunday	6AM–10PM
Monday	6AM–10PM
Tuesday	6AM–10PM
Wednesday	6AM–10PM
Thursday	6AM–10PM
","32 Google reviews
"
"Potala Restaurant Halal Food
",3.9,"जे पी सडक, Kathmandu 44600",01-4253780,Chinese restaurant,"Friday	9AM–9:30PM
Saturday	9AM–9:30PM
Sunday	9AM–9:30PM
Monday	9AM–9:30PM
Tuesday	9AM–9:30PM
Wednesday	9AM–9:30PM
Thursday	9AM–9:30PM
","22 Google reviews
"
"Bon Appetit Cafe & Restaurant
",4.0,"जे पि मार्ग, Kathmandu 44600",985-1084397,Continental restaurant,"Friday	9AM–10:30PM
Saturday	9AM–10:30PM
Sunday	9AM–10:30PM
Monday	9AM–10:30PM
Tuesday	9AM–10:30PM
Wednesday	9AM–10:30PM
Thursday	9AM–10:30PM
","70 Google reviews
"
"Pumpernickel Restaurant
",4.3,"Paryatan Marg, Kathmandu 44600",985-1097784,Not Provided,"Friday	7AM–7PM
Saturday	7AM–7PM
Sunday	7AM–7PM
Monday	7AM–7PM
Tuesday	7AM–7PM
Wednesday	7AM–7PM
Thursday	7AM–7PM
","27 Google reviews
"
"Al Madina Halal Foods
",4.1,"Opposite Dolphin Guest House Behind, Thamel Masjid, Gaa Hiti Rd, 44600",980-3635411,Not Provided,"Friday	8AM–11PM
Saturday	8AM–11PM
Sunday	8AM–11PM
Monday	8AM–11PM
Tuesday	8AM–11PM
Wednesday	8AM–11PM
Thursday	8AM–11PM
","252 Google reviews
"
"Rama's Kitchen
",4.1,"Thamel Marg 26, Kathmandu 44600",01-4249676,Restaurant,"Friday	8AM–10:30PM
Saturday	8AM–10:30PM
Sunday	8AM–10:30PM
Monday	8AM–10:30PM
Tuesday	8AM–10:30PM
Wednesday	8AM–10:30PM
Thursday	8AM–10:30PM
","40 Google reviews
"
"Cibo Bistro Restaurant
",4.2,"Pulchowk Road Patan, Ward no. 3, 44600",01-5541940,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","50 Google reviews
"
"DanRan Japanese Restaurant
",4.3,Patan 44700,01-5521027,Not Provided,"Friday	11AM–9PM
Saturday	11AM–9PM
Sunday	11AM–9PM
Monday	Closed
Tuesday	11AM–9PM
Wednesday	11AM–9PM
Thursday	11AM–9PM
","87 Google reviews
"
"Nina's
",4.4,"Shanti Priya Marg, Kathmandu 44600",985-1130043,Not Provided,"Friday	11AM–8:45PM
Saturday	11AM–8:45PM
Sunday	Closed
Monday	11AM–8:45PM
Tuesday	11AM–8:45PM
Wednesday	11AM–8:45PM
Thursday	11AM–8:45PM
","316 Google reviews
"
"Tamarind Restaurant
",3.8,"Jhamsikhel Road, Patan 44700",01-5522626,Not Provided,"Friday	10AM–10:30PM
Saturday	10AM–10:30PM
Sunday	10AM–10:30PM
Monday	10AM–10:30PM
Tuesday	10AM–10:30PM
Wednesday	10AM–10:30PM
Thursday	10AM–10:30PM
","363 Google reviews
"
"Wunjala Moskva
",4.1,"Opposite Police Headquarter Petrol Pump, Sama Marga, 44600",01-4415236,Not Provided,"Friday	12–10PM
Saturday	12–10PM
Sunday	12–10PM
Monday	12–10PM
Tuesday	12–10PM
Wednesday	12–10PM
Thursday	12–10PM
","141 Google reviews
"
"Vootoo Food Voutique
",3.9,"Ananda Bhawan, Kathmandu 44600",01-4005222,Restaurant,"Friday	10AM–9:30PM
Saturday	10AM–9:30PM
Sunday	10AM–9:30PM
Monday	10AM–9:30PM
Tuesday	10AM–9:30PM
Wednesday	10AM–9:30PM
Thursday	10AM–9:30PM
","74 Google reviews
"
"Newa Momo Restaurant
",4.5,"200/38- Thamel Marg, Kwabahl, Thahity, Thamel Marg, Kathmandu 44600",01-4219135,Not Provided,"Friday	8AM–10PM
Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
","47 Google reviews
"
"Sapporo Japanese Restaurant Kathmandu
",4.7,"Anamika Marg Baluwatar opposite Russian Embassy, Kathmandu 44600",980-3445405,Not Provided,"Friday	11AM–10PM
Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
","99 Google reviews
"
"Nepal Tara Halal Food Restaurant حلال مطعم
",4.9,"Narsingh Chowk Marg, Kathmandu 44600",01-4219585,Not Provided,"Friday	7AM–10:30PM
Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
","40 Google reviews
"
"Happy Garden Restro
",3.7,"Trishakti Marg, Kathmandu 44600",01-4410181,Not Provided,"Friday	8AM–9PM
Saturday	8AM–9PM
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
","28 Google reviews
"
"Mauri
",4.0,Kathmandu 44600,01-4005300,Not Provided,"Friday	10AM–8:30PM
Saturday	10AM–9PM
Sunday	8:30AM–10:15PM
Monday	10AM–8PM
Tuesday	10AM–8PM
Wednesday	10AM–8PM
Thursday	10AM–8PM
","86 Google reviews
"
"Hyderabad House
",3.7,"Thirbam Sadak, Kathmandu 44600",01-4443839,Not Provided,"Friday	11AM–10PM
Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
","481 Google reviews
"
"Flat Iron Grill
",3.9,Kathmandu 44600,01-4413075,Not Provided,"Friday	7AM–9PM
Saturday	7AM–9PM
Sunday	7AM–9PM
Monday	7AM–9PM
Tuesday	7AM–9PM
Wednesday	7AM–9PM
Thursday	7AM–9PM
","50 Google reviews
"
"Korean Kitchen Picnic
",3.8,"Tridevi Sadak, Kathmandu 44600",01-4442420,Korean restaurant,"Friday	9AM–8PM
Saturday	9AM–8PM
Sunday	9AM–8PM
Monday	9AM–8PM
Tuesday	9AM–8PM
Wednesday	9AM–8PM
Thursday	9AM–8PM
","137 Google reviews
"
"Nilgiri Thakali Delights
",4.1,Kathmandu 44600,01-4411487,Restaurant,"Friday	9AM–10PM
Saturday	9AM–10PM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
","212 Google reviews
"
"Nepali Food Restaurant
",3.0,Patan 44600,Not Provided,Not Provided,"Friday	6AM–10PM
Saturday	Closed
Sunday	Closed
Monday	6AM–10PM
Tuesday	6AM–10PM
Wednesday	6AM–10PM
Thursday	6AM–10PM
","1 Google review
"
"Lotus Japanese Restaurant
",3.8,"Amrit Marg, Kathmandu 44600",981-0309223,Not Provided,"Friday	9AM–9PM
Saturday	Closed
Sunday	9AM–9PM
Monday	9AM–9PM
Tuesday	9AM–9PM
Wednesday	9AM–9PM
Thursday	9AM–9PM
","54 Google reviews
"
"Bhojan Bhumi Pvt. Ltd.
",4.2,"Jyatha Marg, Kathmandu 44600",01-4261431,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","38 Google reviews
"
"La Dolce Vita Restro Bar Italiano
",4.2,"Chaksibari Marg, Thamel, Kathmandu 44600",01-4700612,Not Provided,"Friday	11AM–10PM
Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
","121 Google reviews
"
"Thakali Bhanchha Ghar
",4.0,"Chaksibari Marg, काठमाडौं 44600",01-4701910,Nepalese restaurant,"Friday	8AM–10PM
Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
","166 Google reviews
"
"City Tandoori Fast Food
",4.2,Kathmandu 44600,01-4771297,Not Provided,"Friday	9AM–10PM
Saturday	9AM–10PM
Sunday	9AM–10PM
Monday	9AM–10PM
Tuesday	9AM–10PM
Wednesday	9AM–10PM
Thursday	9AM–10PM
","21 Google reviews
"
"Newari Kitchen
",4.0,"Pulchowk Gabahal Rd, Patan 44600",01-5530570,Not Provided,"Friday	8AM–10PM
Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
","110 Google reviews
"
"Northfield Cafe
",3.7,Kathmandu 44600,01-4700884,Continental restaurant,"Friday	7AM–10:30PM
Saturday	7AM–10:30PM
Sunday	7AM–10:30PM
Monday	7AM–10:30PM
Tuesday	7AM–10:30PM
Wednesday	7AM–10:30PM
Thursday	7AM–10:30PM
","248 Google reviews
"
"Urutora Japanese Restaurant
",4.0,"Pabitra Pyara Marg, Kathmandu 44600",01-4419057,Not Provided,"Friday	11AM–10PM
Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
","49 Google reviews
"
"Yala Cafe & Restaurant
",4.5,"44600, Patan",01-5522395,Not Provided,"Friday	8AM–10PM
Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
","29 Google reviews
"
"Umi Restaurant And automatic Car Wash
",4.3,"Bakhundole, Patan 44600",984-1005200,Not Provided,"Friday	Open 24 hours
Saturday	Open 24 hours
Sunday	Open 24 hours
Monday	Open 24 hours
Tuesday	Open 24 hours
Wednesday	Open 24 hours
Thursday	Open 24 hours
","70 Google reviews
"
"Bota Momo- Kumaripati
",3.7,"Kumaripati, Opposite to Sanima Bank, Patan 44700",980-2055040,Nepalese restaurant,"Friday	11:30AM–9PM
Saturday	11:30AM–9PM
Sunday	11:30AM–9PM
Monday	11:30AM–9PM
Tuesday	11:30AM–9PM
Wednesday	11:30AM–9PM
Thursday	11:30AM–9PM
","395 Google reviews
"
"Nepal Family Hotel & Garden Restaurant
",5.0,"बिरेन्द्र ऐस्वोर्य मार्ग, Kathmandu 44600",984-3387234,Not Provided,"Friday	5:30AM–8:30PM
Saturday	5:30AM–8:30PM
Sunday	5:30AM–8:30PM
Monday	5:30AM–8:30PM
Tuesday	5:30AM–8:30PM
Wednesday	5:30AM–8:30PM
Thursday	5:30AM–8:30PM
","1 Google review
"
"Royal Thai Restaurant
",3.8,"Madan Bhandari path, Kathmandu 44600",01-4786865,Not Provided,"Friday	10AM–10PM
Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
","30 Google reviews
"
"Helena's Restaurant
",4.1,"Chaksibari Marg, Kathmandu 44600",01-4266979,Not Provided,"Saturday	7AM–10:30PM
Sunday	7AM–10:30PM
Monday	7AM–10:30PM
Tuesday	7AM–10:30PM
Wednesday	7AM–10:30PM
Thursday	7AM–10:30PM
Friday	7AM–10:30PM
","74 Google reviews
"
"Sakura Snooker
",3.9,"Jamal, Seto Dokha - 01, 46600",01-4230266,Not Provided,"Saturday	6AM–11PM
Sunday	6AM–11PM
Monday	6AM–11PM
Tuesday	6AM–11PM
Wednesday	6AM–11PM
Thursday	6AM–11PM
Friday	6AM–11PM
","7 Google reviews
"
"The Old House Restaurant
",4.4,"Jyatha Marg, Kathmandu 44600",Not Provided,Not Provided,"Saturday	11:30AM–10PM
Sunday	11:30AM–10PM
Monday	11:30AM–10PM
Tuesday	11:30AM–10PM
Wednesday	11:30AM–10PM
Thursday	11:30AM–10PM
Friday	11:30AM–10PM
","22 Google reviews
"
"Kathmandu Grill Restaurant & bar
",3.3,"Samakhusi Marg, Kathmandu 44600",01-4440476,Not Provided,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","3 Google reviews
"
"KTM 365 CAFE & RESTAURANT
",2.5,"venus hospital, Kathmandu, Nepal, Kathmandu, Nepal 44601",01-4469976,Not Provided,"Saturday	8AM–9PM
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
Friday	8AM–9PM
","2 Google reviews
"
"Evoke Cafe & Bistro
",4.1,"Jhamsikhel Road, Patan 44600",985-1111051,Not Provided,"Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
Friday	8AM–10PM
","458 Google reviews
"
"Pho Ninety-nine Pvt. Ltd.
",4.2,Patan 44701,980-3203119,Vietnamese restaurant,"Saturday	11AM–9PM
Sunday	11AM–9PM
Monday	11AM–9PM
Tuesday	11AM–9PM
Wednesday	11AM–9PM
Thursday	11AM–9PM
Friday	11AM–9PM
","202 Google reviews
"
"MY CHOICE Restaurant & Bar
",4.2,"लाजिमपाट रोड, 44600",01-4413656,Not Provided,"Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","38 Google reviews
"
"Gokarna House Restaurant
",4.0,"Paknajol Marg 43/33, Kathmandu 44600",01-4218960,Restaurant,"Saturday	6AM–9PM
Sunday	6AM–9PM
Monday	6AM–9PM
Tuesday	6AM–9PM
Wednesday	6AM–9PM
Thursday	6AM–9PM
Friday	6AM–9PM
","196 Google reviews
"
"Jimbu Thakali by Capital Grill
",4.1,"Next to Tangaal Chaata Ganesh, Gahana Pokhari Marg, Kathmandu 44600, Kathmandu",01-4437674,Restaurant,"Saturday	11AM–9:30PM
Sunday	11AM–9:30PM
Monday	11AM–9:30PM
Tuesday	11AM–9:30PM
Wednesday	11AM–9:30PM
Thursday	11AM–9:30PM
Friday	11AM–9:30PM
","511 Google reviews
"
"Fusion Kitchen Restaurant
",4.3,Kathmandu 44600,982-3259358,Not Provided,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","36 Google reviews
"
"The Pizza Cutter
",3.6,"Nagpokhari Marg, Kathmandu 44600",980-1074992,Not Provided,"Saturday	10AM–7:30PM
Sunday	10AM–7:30PM
Monday	10AM–7:30PM
Tuesday	10AM–7:30PM
Wednesday	10AM–7:30PM
Thursday	10AM–7:30PM
Friday	10AM–7:30PM
","54 Google reviews
"
"The Kathmandu Kitchen
",4.2,"Thamel Marg,Bhagawatisthan, Kathmandu 44600",01-4413355,Not Provided,"Saturday	9AM–10:30PM
Sunday	9AM–10:30PM
Monday	9AM–10:30PM
Tuesday	9AM–10:30PM
Wednesday	9AM–10:30PM
Thursday	9AM–10:30PM
Friday	9AM–10:30PM
","75 Google reviews
"
"Reggae Bar Thamel
",4.1,"Chaksibari Marg, Kathmandu 00977",01-4700654,Live Music Venue,"Friday	4:30PM–1AM
Saturday	4:30PM–1AM
Sunday	4:30PM–1AM
Monday	4:30PM–1AM
Tuesday	4:30PM–1AM
Wednesday	4:30PM–1AM
Thursday	4:30PM–1AM
","293 Google reviews
"
"Delicious MoMo & Fast Food
",4.1,"Kanti Path, Kathmandu 44600",01-4215677,Not Provided,"Saturday	8AM–9PM
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
Friday	8AM–9PM
","218 Google reviews
"
"The Bakery & Cafe
",3.8,"Teendhara Marg, Kathmandu 44600",01-4222636,Not Provided,"Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","161 Google reviews
"
"Belle Ville Cafe Pub
",3.9,"Thirbam Sadak, Kathmandu 44600",01-4411266,Not Provided,"Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
Friday	8AM–10PM
","89 Google reviews
"
"Ageno the Hestia
",3.9,Patan,985-1075801,Nepalese restaurant,"Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
Friday	8AM–10PM
","61 Google reviews
"
"Hakkasan Chinese Restaurant
",3.5,"सिटि सेन्टर, Pashupati Rd, Kathmandu 44600",01-4011809,Not Provided,"Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","2 Google reviews
"
"Red Diamond Restaurant Pvt. Ltd.
",3.6,"Near Standard Charted Bank, Madan Bhandari Road, Kathmandu 44600",01-4780187,Not Provided,"Saturday	7AM–9PM
Sunday	7AM–9PM
Monday	7AM–9PM
Tuesday	7AM–9PM
Wednesday	7AM–9PM
Thursday	7AM–9PM
Friday	7AM–9PM
","25 Google reviews
"
"Noyoz
",4.1,"Thitbam Sadak, Bhatbhatini, Kathmandu",01-4439857,Restaurant,"Saturday	11AM–9PM
Sunday	12–9PM
Monday	11AM–9PM
Tuesday	11AM–9PM
Wednesday	11AM–9PM
Thursday	11AM–9PM
Friday	11AM–9PM
","104 Google reviews
"
"Tukche Thakali Kitchen
",4.0,Kathmandu 44600,01-4412462,Not Provided,"Saturday	10AM–9:30PM
Sunday	10AM–9:30PM
Monday	10AM–9:30PM
Tuesday	10AM–9:30PM
Wednesday	10AM–9:30PM
Thursday	10AM–9:30PM
Friday	10AM–9:30PM
","321 Google reviews
"
"Baan Thai Restaurant
",3.8,"Maharajgunj Rd, Kathmandu 44600",01-4721510,Not Provided,"Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","54 Google reviews
"
"Momotarou Restaurant
",3.7,"Milap Rd, Patan 44700",01-5521988,Japanese restaurant,"Saturday	8AM–9PM
Sunday	8AM–9PM
Monday	8AM–9PM
Tuesday	8AM–9PM
Wednesday	8AM–9PM
Thursday	8AM–9PM
Friday	8AM–9PM
","104 Google reviews
"
"OPIUM Restaurant and Bar
",4.1,"Sherpa Mall, Durbarmarg,, Kathmandu 44600",01-4231258,Not Provided,"Saturday	11AM–10:30PM
Sunday	11AM–10:30PM
Monday	11AM–10:30PM
Tuesday	11AM–10:30PM
Wednesday	11AM–10:30PM
Thursday	11AM–10:30PM
Friday	11AM–10:30PM
","99 Google reviews
"
"Norling Tibetan Restaurant
",4.0,"Jagatsundar Marg, Kathmandu 44600",01-4263797,Not Provided,"Saturday	11AM–7:30PM
Sunday	11AM–7:30PM
Monday	11AM–7:30PM
Tuesday	11AM–7:30PM
Wednesday	11AM–7:30PM
Thursday	11AM–7:30PM
Friday	11AM–7:30PM
","60 Google reviews
"
"Fren's Kitchen
",4.3,Kathmandu 44600,984-1972163,Restaurant,"Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
Friday	11AM–10PM
","104 Google reviews
"
"Baber Mahal Revisited
",4.4,"Tanka Prasad Sadak, Kathmandu 44600",01-4248747,Not Provided,"Saturday	11AM–7PM
Sunday	11AM–7PM
Monday	11AM–7PM
Tuesday	11AM–7PM
Wednesday	11AM–7PM
Thursday	11AM–7PM
Friday	11AM–7PM
","279 Google reviews
"
"K-Too Beer & Steakhouse
",3.8,"Narsingh Chowk Marg, Kathmandu 44600",984-1222133,Not Provided,"Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","79 Google reviews
"
"Lete Thakali Kitchen
",4.1,"Thirbam Sadak, Kathmandu 44600",01-4416866,Not Provided,"Saturday	9:30AM–9:30PM
Sunday	9:30AM–9:30PM
Monday	9:30AM–9:30PM
Tuesday	9:30AM–9:30PM
Wednesday	9:30AM–9:30PM
Thursday	9:30AM–9:30PM
Friday	9:30AM–9:30PM
","228 Google reviews
"
"Crazy Burger
",3.5,"Seven Corner, Chaksibari Marg, Thamel, Kathmandu 44601",01-4700062,Not Provided,"Saturday	6AM–11:30PM
Sunday	6AM–11:30PM
Monday	6AM–11:30PM
Tuesday	6AM–11:30PM
Wednesday	6AM–11:30PM
Thursday	6AM–11:30PM
Friday	6AM–11:30PM
","26 Google reviews
"
"Happiness Vegetarian Restaurant
",4.3,"Boudhanath Sadak, Kathmandu 44600",Not Provided,Not Provided,"Saturday	7AM–9PM
Sunday	7AM–9PM
Monday	7AM–9PM
Tuesday	7AM–9PM
Wednesday	7AM–9PM
Thursday	7AM–9PM
Friday	7AM–9PM
","9 Google reviews
"
"E-Revolving Indian Cuisine Restaurant Pvt. Ltd.
",3.6,"Ratna Plaza, Dharma Path, Kathmandu 44600",01-4227884,Not Provided,"Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
Friday	11AM–10PM
","16 Google reviews
"
"Grill Me Restaurant & Bar
",3.9,"Arun Thapa Chowk, Patan",980-8380064,Not Provided,"Saturday	7:30AM–10:30PM
Sunday	7:30AM–10:30PM
Monday	7:30AM–10:30PM
Tuesday	7:30AM–10:30PM
Wednesday	7:30AM–10:30PM
Thursday	7:30AM–10:30PM
Friday	7:30AM–10:30PM
","97 Google reviews
"
"Aniyor Veg & Vegan Restaurant
",4.2,"Thamel Marg, Kathmandu 44600",981-8887658,Not Provided,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","39 Google reviews
"
"Silauta Restaurant
",4.2,Kathmandu 44600,01-4216450,Not Provided,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","22 Google reviews
"
"Trisara
",3.9,"Lazimpat Rd, Kathmandu 44600",01-4410200,Restaurant,"Saturday	10AM–11PM
Sunday	10AM–11PM
Monday	10AM–11PM
Tuesday	10AM–11PM
Wednesday	10AM–11PM
Thursday	10AM–11PM
Friday	10AM–11PM
","821 Google reviews
"
"Sky High
",3.6,"44600, Kathmandu",01-4410298,Restaurant,"Saturday	11AM–10PM
Sunday	11AM–10PM
Monday	11AM–10PM
Tuesday	11AM–10PM
Wednesday	11AM–10PM
Thursday	11AM–10PM
Friday	11AM–10PM
","26 Google reviews
"
"Achaar Ghar
",4.0,"Jhamsikhel Road, Patan 44700",01-5541952,Nepalese restaurant,"Saturday	10:45AM–9:45PM
Sunday	10:45AM–9:45PM
Monday	10:45AM–9:45PM
Tuesday	10:45AM–9:45PM
Wednesday	10:45AM–9:45PM
Thursday	10:45AM–9:45PM
Friday	10:45AM–9:45PM
","158 Google reviews
"
"Ageno Restaurant
",3.9,Patan 44600,01-5538106,Restaurant,"Saturday	7AM–10PM
Sunday	7AM–10PM
Monday	7AM–10PM
Tuesday	7AM–10PM
Wednesday	7AM–10PM
Thursday	7AM–10PM
Friday	7AM–10PM
","139 Google reviews
"
"Venus Restaurant & Bar
",3.7,"Maharajgunj Rd, Kathmandu 44600",01-4378583,Fine dining restaurant,"Saturday	10AM–10PM
Sunday	10AM–10PM
Monday	10AM–10PM
Tuesday	10AM–10PM
Wednesday	10AM–10PM
Thursday	10AM–10PM
Friday	10AM–10PM
","40 Google reviews
"
"Haarati Newa Restaurant
",4.2,"Naya Bazaar Marg, Kathmandu 44600",01-4360223,Not Provided,"Saturday	8AM–10PM
Sunday	8AM–10PM
Monday	8AM–10PM
Tuesday	8AM–10PM
Wednesday	8AM–10PM
Thursday	8AM–10PM
Friday	8AM–10PM
","122 Google reviews
"
"Festival Korea Restaurant
",4.1,"J P Marg, Kathmandu 44600",984-1419433,Not Provided,"Saturday	8:30AM–9:30PM
Sunday	8:30AM–9:30PM
Monday	8:30AM–9:30PM
Tuesday	8:30AM–9:30PM
Wednesday	8:30AM–9:30PM
Thursday	8:30AM–9:30PM
Friday	8:30AM–9:30PM
","38 Google reviews
"
"The Pizza Cutter
",3.2,"Dhobidhara Marg, Kathmandu 44600",980-1074992,Not Provided,"Saturday	9AM–8PM
Sunday	9AM–8PM
Monday	9AM–8PM
Tuesday	9AM–8PM
Wednesday	9AM–8PM
Thursday	9AM–8PM
Friday	9AM–8PM
","198 Google reviews
"
"Dechenling Garden Restaurant
",4.1,"Keshar Mahal Marg, Kathmandu 44600",01-4412158,Not Provided,"Saturday	10:30AM–9:30PM
Sunday	10:30AM–9:30PM
Monday	10:30AM–9:30PM
Tuesday	10:30AM–9:30PM
Wednesday	10:30AM–9:30PM
Thursday	10:30AM–9:30PM
Friday	10:30AM–9:30PM
","145 Google reviews
"
